"","Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Savings_account_bonds","Present_employment_since","Installment_rate_in_percentage_of_disposable_income","Personal_status_and_sex","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","foreign_worker","Good_Loan"
"829","... < 0 DM",36,"existing credits paid back duly till now","car (used)",8335,"unknown/ no savings account",".. > =  7 years",3,"male : single","none",4,"unknown / no property",47,"none","for free",1,"skilled employee / official",1,"none","yes","BadLoan"
"830","0 < =  ... < 200 DM",48,"delay in paying off in the past","business",6681,"unknown/ no savings account","1 < =  ... < 4 years",4,"male : single","none",4,"unknown / no property",38,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"831","no checking account",24,"delay in paying off in the past","business",2375,"500 < =  ... < 1000 DM","1 < =  ... < 4 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",44,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"832","... < 0 DM",18,"existing credits paid back duly till now","car (new)",1216,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",3,"if not A121/A122 : car or other, not in attribute 6",23,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"833","... < 0 DM",45,"no credits taken/all credits paid back duly","business",11816,"... < 100 DM",".. > =  7 years",2,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",29,"none","rent",2,"skilled employee / official",1,"none","yes","BadLoan"
"834","0 < =  ... < 200 DM",24,"existing credits paid back duly till now","radio/television",5084,"unknown/ no savings account",".. > =  7 years",2,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",42,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"835","... > =  200 DM / salary assignments for at least 1 year",15,"existing credits paid back duly till now","radio/television",2327,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",3,"real estate",25,"none","own",1,"unskilled - resident",1,"none","yes","BadLoan"
"836","... < 0 DM",12,"no credits taken/all credits paid back duly","car (new)",1082,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",48,"bank","own",2,"skilled employee / official",1,"none","yes","BadLoan"
"837","no checking account",12,"existing credits paid back duly till now","radio/television",886,"unknown/ no savings account","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",21,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"838","no checking account",4,"existing credits paid back duly till now","furniture/equipment",601,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",3,"real estate",23,"none","rent",1,"unskilled - resident",2,"none","yes","GoodLoan"
"839","... < 0 DM",24,"critical account/other credits existing (not at this bank)","car (used)",2957,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",63,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"840","no checking account",24,"critical account/other credits existing (not at this bank)","radio/television",2611,"... < 100 DM",".. > =  7 years",4,"male : married/widowed","co-applicant",3,"real estate",46,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"841","... < 0 DM",36,"existing credits paid back duly till now","furniture/equipment",5179,"... < 100 DM","4 < =  ... < 7 years",4,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",29,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"842","no checking account",21,"delay in paying off in the past","car (used)",2993,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",2,"real estate",28,"stores","own",2,"unskilled - resident",1,"none","yes","GoodLoan"
"843","no checking account",18,"existing credits paid back duly till now","repairs",1943,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"real estate",23,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"844","no checking account",24,"all credits at this bank paid back duly","business",1559,"... < 100 DM","4 < =  ... < 7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",50,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"845","no checking account",18,"existing credits paid back duly till now","furniture/equipment",3422,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",47,"bank","own",3,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"846","0 < =  ... < 200 DM",21,"existing credits paid back duly till now","furniture/equipment",3976,"unknown/ no savings account","4 < =  ... < 7 years",2,"male : single","none",3,"if not A121/A122 : car or other, not in attribute 6",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"847","no checking account",18,"existing credits paid back duly till now","car (new)",6761,"unknown/ no savings account","1 < =  ... < 4 years",2,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",68,"none","rent",2,"skilled employee / official",1,"none","yes","BadLoan"
"848","no checking account",24,"existing credits paid back duly till now","car (new)",1249,"... < 100 DM","... < 1 year",4,"male : married/widowed","none",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"849","... < 0 DM",9,"existing credits paid back duly till now","radio/television",1364,"... < 100 DM","4 < =  ... < 7 years",3,"male : single","none",4,"real estate",59,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"850","... < 0 DM",12,"existing credits paid back duly till now","radio/television",709,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"real estate",57,"stores","own",1,"unskilled - resident",1,"none","yes","BadLoan"
"851","... < 0 DM",20,"critical account/other credits existing (not at this bank)","car (new)",2235,"... < 100 DM","1 < =  ... < 4 years",4,"male : married/widowed","guarantor",2,"if not A121 : building society savings agreement/life insurance",33,"bank","rent",2,"skilled employee / official",1,"none","no","BadLoan"
"852","no checking account",24,"critical account/other credits existing (not at this bank)","car (used)",4042,"unknown/ no savings account","4 < =  ... < 7 years",3,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",43,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"853","no checking account",15,"critical account/other credits existing (not at this bank)","radio/television",1471,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",4,"unknown / no property",35,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"854","... < 0 DM",18,"all credits at this bank paid back duly","car (new)",1442,"... < 100 DM","4 < =  ... < 7 years",4,"male : single","none",4,"unknown / no property",32,"none","for free",2,"unskilled - resident",2,"none","yes","BadLoan"
"855","no checking account",36,"delay in paying off in the past","car (new)",10875,"... < 100 DM",".. > =  7 years",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",45,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"856","no checking account",24,"existing credits paid back duly till now","car (new)",1474,"100 < =  ... < 500 DM","... < 1 year",4,"male : married/widowed","none",3,"real estate",33,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"857","no checking account",10,"existing credits paid back duly till now","retraining",894,"unknown/ no savings account","4 < =  ... < 7 years",4,"female : divorced/separated/married","none",3,"if not A121 : building society savings agreement/life insurance",40,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"858","no checking account",15,"critical account/other credits existing (not at this bank)","furniture/equipment",3343,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",2,"unknown / no property",28,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"859","... < 0 DM",15,"existing credits paid back duly till now","car (new)",3959,"... < 100 DM","1 < =  ... < 4 years",3,"female : divorced/separated/married","none",2,"if not A121 : building society savings agreement/life insurance",29,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"860","no checking account",9,"existing credits paid back duly till now","car (new)",3577,"100 < =  ... < 500 DM","1 < =  ... < 4 years",1,"male : single","guarantor",2,"real estate",26,"none","rent",1,"skilled employee / official",2,"none","no","GoodLoan"
"861","no checking account",24,"critical account/other credits existing (not at this bank)","car (used)",5804,".. > =  1000 DM","1 < =  ... < 4 years",4,"male : single","none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"862","no checking account",18,"delay in paying off in the past","business",2169,"... < 100 DM","1 < =  ... < 4 years",4,"male : married/widowed","none",2,"if not A121/A122 : car or other, not in attribute 6",28,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"863","... < 0 DM",24,"existing credits paid back duly till now","radio/television",2439,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"real estate",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"864","no checking account",27,"critical account/other credits existing (not at this bank)","furniture/equipment",4526,".. > =  1000 DM","... < 1 year",4,"male : single","none",2,"real estate",32,"stores","own",2,"unskilled - resident",2,"yes, registered under the customers name","yes","GoodLoan"
"865","no checking account",10,"existing credits paid back duly till now","furniture/equipment",2210,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","none",2,"real estate",25,"bank","rent",1,"unskilled - resident",1,"none","yes","BadLoan"
"866","no checking account",15,"existing credits paid back duly till now","furniture/equipment",2221,"500 < =  ... < 1000 DM","1 < =  ... < 4 years",2,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",20,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"867","... < 0 DM",18,"existing credits paid back duly till now","radio/television",2389,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"if not A121/A122 : car or other, not in attribute 6",27,"stores","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"868","no checking account",12,"critical account/other credits existing (not at this bank)","furniture/equipment",3331,"... < 100 DM",".. > =  7 years",2,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",42,"stores","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"869","no checking account",36,"existing credits paid back duly till now","business",7409,"unknown/ no savings account",".. > =  7 years",3,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",37,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"870","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",652,"... < 100 DM",".. > =  7 years",4,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",24,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"871","no checking account",36,"delay in paying off in the past","furniture/equipment",7678,"500 < =  ... < 1000 DM","4 < =  ... < 7 years",2,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",40,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"872","... > =  200 DM / salary assignments for at least 1 year",6,"critical account/other credits existing (not at this bank)","car (new)",1343,"... < 100 DM",".. > =  7 years",1,"male : single","none",4,"real estate",46,"none","own",2,"skilled employee / official",2,"none","no","GoodLoan"
"873","... < 0 DM",24,"critical account/other credits existing (not at this bank)","business",1382,"100 < =  ... < 500 DM","4 < =  ... < 7 years",4,"male : single","none",1,"real estate",26,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"874","no checking account",15,"existing credits paid back duly till now","domestic appliances",874,"unknown/ no savings account","... < 1 year",4,"female : divorced/separated/married","none",1,"real estate",24,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"875","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",3590,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","co-applicant",2,"if not A121 : building society savings agreement/life insurance",29,"none","own",1,"unskilled - resident",2,"none","yes","GoodLoan"
"876","0 < =  ... < 200 DM",11,"critical account/other credits existing (not at this bank)","car (new)",1322,".. > =  1000 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",40,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"877","... < 0 DM",18,"all credits at this bank paid back duly","radio/television",1940,"... < 100 DM","... < 1 year",3,"male : single","co-applicant",4,"unknown / no property",36,"bank","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"878","no checking account",36,"existing credits paid back duly till now","radio/television",3595,"... < 100 DM",".. > =  7 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",28,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"879","... < 0 DM",9,"existing credits paid back duly till now","car (new)",1422,"... < 100 DM","... < 1 year",3,"male : single","none",2,"unknown / no property",27,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"880","no checking account",30,"critical account/other credits existing (not at this bank)","radio/television",6742,"unknown/ no savings account","4 < =  ... < 7 years",2,"male : single","none",3,"if not A121 : building society savings agreement/life insurance",36,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"881","no checking account",24,"existing credits paid back duly till now","car (used)",7814,"... < 100 DM","4 < =  ... < 7 years",3,"male : single","none",3,"if not A121/A122 : car or other, not in attribute 6",38,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"882","no checking account",24,"existing credits paid back duly till now","car (used)",9277,"unknown/ no savings account","1 < =  ... < 4 years",2,"male : divorced/separated","none",4,"unknown / no property",48,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"883","0 < =  ... < 200 DM",30,"critical account/other credits existing (not at this bank)","car (new)",2181,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"884","no checking account",18,"critical account/other credits existing (not at this bank)","radio/television",1098,"... < 100 DM","unemployed",4,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",65,"none","own",2,"unemployed/ unskilled - non-resident",1,"none","yes","GoodLoan"
"885","0 < =  ... < 200 DM",24,"existing credits paid back duly till now","furniture/equipment",4057,"... < 100 DM","4 < =  ... < 7 years",3,"male : divorced/separated","none",3,"if not A121/A122 : car or other, not in attribute 6",43,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"886","... < 0 DM",12,"existing credits paid back duly till now","education",795,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",53,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"887","0 < =  ... < 200 DM",24,"critical account/other credits existing (not at this bank)","business",2825,"unknown/ no savings account","4 < =  ... < 7 years",4,"male : single","none",3,"unknown / no property",34,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"888","0 < =  ... < 200 DM",48,"existing credits paid back duly till now","business",15672,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"889","no checking account",36,"critical account/other credits existing (not at this bank)","car (new)",6614,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",34,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"890","no checking account",28,"all credits at this bank paid back duly","car (used)",7824,"unknown/ no savings account","... < 1 year",3,"male : single","guarantor",4,"real estate",40,"bank","rent",2,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"891","... < 0 DM",27,"critical account/other credits existing (not at this bank)","business",2442,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",43,"stores","own",4,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","GoodLoan"
"892","no checking account",15,"critical account/other credits existing (not at this bank)","radio/television",1829,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",46,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"893","... < 0 DM",12,"critical account/other credits existing (not at this bank)","car (new)",2171,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",38,"bank","own",2,"unskilled - resident",1,"none","no","GoodLoan"
"894","0 < =  ... < 200 DM",36,"critical account/other credits existing (not at this bank)","car (used)",5800,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",34,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"895","no checking account",18,"critical account/other credits existing (not at this bank)","radio/television",1169,"unknown/ no savings account","1 < =  ... < 4 years",4,"male : single","none",3,"if not A121 : building society savings agreement/life insurance",29,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"896","no checking account",36,"delay in paying off in the past","car (used)",8947,"unknown/ no savings account","4 < =  ... < 7 years",3,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",31,"stores","own",1,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","GoodLoan"
"897","... < 0 DM",21,"existing credits paid back duly till now","radio/television",2606,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",28,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"898","no checking account",12,"critical account/other credits existing (not at this bank)","furniture/equipment",1592,".. > =  1000 DM","4 < =  ... < 7 years",3,"female : divorced/separated/married","none",2,"if not A121 : building society savings agreement/life insurance",35,"none","own",1,"skilled employee / official",1,"none","no","GoodLoan"
"899","no checking account",15,"existing credits paid back duly till now","furniture/equipment",2186,"unknown/ no savings account","4 < =  ... < 7 years",1,"female : divorced/separated/married","none",4,"real estate",33,"bank","rent",1,"unskilled - resident",1,"none","yes","GoodLoan"
"900","... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",4153,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","co-applicant",3,"if not A121/A122 : car or other, not in attribute 6",42,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"901","... < 0 DM",16,"critical account/other credits existing (not at this bank)","car (new)",2625,"... < 100 DM",".. > =  7 years",2,"male : single","guarantor",4,"if not A121 : building society savings agreement/life insurance",43,"bank","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"902","no checking account",20,"critical account/other credits existing (not at this bank)","car (new)",3485,"unknown/ no savings account","... < 1 year",2,"male : divorced/separated","none",4,"real estate",44,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"903","no checking account",36,"critical account/other credits existing (not at this bank)","car (used)",10477,"unknown/ no savings account",".. > =  7 years",2,"male : single","none",4,"unknown / no property",42,"none","for free",2,"skilled employee / official",1,"none","yes","GoodLoan"
"904","no checking account",15,"existing credits paid back duly till now","radio/television",1386,"unknown/ no savings account","1 < =  ... < 4 years",4,"male : married/widowed","none",2,"real estate",40,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"905","no checking account",24,"existing credits paid back duly till now","radio/television",1278,"... < 100 DM",".. > =  7 years",4,"male : single","none",1,"real estate",36,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"906","... < 0 DM",12,"existing credits paid back duly till now","radio/television",1107,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","none",2,"real estate",20,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","GoodLoan"
"907","... < 0 DM",21,"existing credits paid back duly till now","car (new)",3763,"unknown/ no savings account","4 < =  ... < 7 years",2,"male : single","co-applicant",2,"real estate",24,"none","own",1,"unskilled - resident",1,"none","no","GoodLoan"
"908","0 < =  ... < 200 DM",36,"existing credits paid back duly till now","education",3711,"unknown/ no savings account","1 < =  ... < 4 years",2,"male : married/widowed","none",2,"if not A121/A122 : car or other, not in attribute 6",27,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"909","no checking account",15,"delay in paying off in the past","car (used)",3594,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",2,"if not A121 : building society savings agreement/life insurance",46,"none","own",2,"unskilled - resident",1,"none","yes","GoodLoan"
"910","0 < =  ... < 200 DM",9,"existing credits paid back duly till now","car (new)",3195,"unknown/ no savings account","1 < =  ... < 4 years",1,"female : divorced/separated/married","none",2,"real estate",33,"none","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"911","no checking account",36,"delay in paying off in the past","radio/television",4454,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",4,"real estate",34,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"912","0 < =  ... < 200 DM",24,"critical account/other credits existing (not at this bank)","furniture/equipment",4736,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",25,"bank","own",1,"unskilled - resident",1,"none","yes","BadLoan"
"913","0 < =  ... < 200 DM",30,"existing credits paid back duly till now","radio/television",2991,"unknown/ no savings account",".. > =  7 years",2,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",25,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"914","no checking account",11,"existing credits paid back duly till now","business",2142,".. > =  1000 DM",".. > =  7 years",1,"male : divorced/separated","none",2,"real estate",28,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"915","... < 0 DM",24,"all credits at this bank paid back duly","business",3161,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",31,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"916","0 < =  ... < 200 DM",48,"no credits taken/all credits paid back duly","others",18424,"... < 100 DM","1 < =  ... < 4 years",1,"female : divorced/separated/married","none",2,"if not A121 : building society savings agreement/life insurance",32,"bank","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","no","BadLoan"
"917","no checking account",10,"existing credits paid back duly till now","car (used)",2848,"100 < =  ... < 500 DM","1 < =  ... < 4 years",1,"male : single","co-applicant",2,"real estate",32,"none","own",1,"skilled employee / official",2,"none","yes","GoodLoan"
"918","... < 0 DM",6,"existing credits paid back duly till now","car (new)",14896,"... < 100 DM",".. > =  7 years",1,"male : single","none",4,"unknown / no property",68,"bank","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"919","... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",2359,"100 < =  ... < 500 DM","unemployed",1,"male : divorced/separated","none",1,"if not A121 : building society savings agreement/life insurance",33,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"920","... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",3345,"... < 100 DM",".. > =  7 years",4,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",39,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"921","no checking account",18,"critical account/other credits existing (not at this bank)","furniture/equipment",1817,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",2,"unknown / no property",28,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"922","no checking account",48,"delay in paying off in the past","radio/television",12749,"500 < =  ... < 1000 DM","4 < =  ... < 7 years",4,"male : single","none",1,"if not A121/A122 : car or other, not in attribute 6",37,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"923","... < 0 DM",9,"existing credits paid back duly till now","radio/television",1366,"... < 100 DM","... < 1 year",3,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",22,"none","rent",1,"skilled employee / official",1,"none","yes","BadLoan"
"924","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","car (new)",2002,"... < 100 DM","4 < =  ... < 7 years",3,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",30,"none","rent",1,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"925","... < 0 DM",24,"all credits at this bank paid back duly","furniture/equipment",6872,"... < 100 DM","... < 1 year",2,"male : divorced/separated","none",1,"if not A121 : building society savings agreement/life insurance",55,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"926","... < 0 DM",12,"all credits at this bank paid back duly","car (new)",697,"... < 100 DM","... < 1 year",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",46,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"927","... < 0 DM",18,"critical account/other credits existing (not at this bank)","furniture/equipment",1049,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",21,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"928","... < 0 DM",48,"existing credits paid back duly till now","car (used)",10297,"... < 100 DM","4 < =  ... < 7 years",4,"male : single","none",4,"unknown / no property",39,"stores","for free",3,"skilled employee / official",2,"yes, registered under the customers name","yes","BadLoan"
"929","no checking account",30,"existing credits paid back duly till now","radio/television",1867,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",58,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"930","... < 0 DM",12,"delay in paying off in the past","car (new)",1344,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",2,"real estate",43,"none","own",2,"unskilled - resident",2,"none","yes","GoodLoan"
"931","... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",1747,"... < 100 DM","... < 1 year",4,"male : single","co-applicant",1,"if not A121 : building society savings agreement/life insurance",24,"none","own",1,"unskilled - resident",1,"none","no","GoodLoan"
"932","0 < =  ... < 200 DM",9,"existing credits paid back duly till now","radio/television",1670,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",22,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"933","no checking account",9,"critical account/other credits existing (not at this bank)","car (new)",1224,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",1,"real estate",30,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"934","no checking account",12,"critical account/other credits existing (not at this bank)","radio/television",522,"500 < =  ... < 1000 DM",".. > =  7 years",4,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",42,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"935","... < 0 DM",12,"existing credits paid back duly till now","radio/television",1498,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",1,"if not A121/A122 : car or other, not in attribute 6",23,"bank","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"936","0 < =  ... < 200 DM",30,"delay in paying off in the past","radio/television",1919,"100 < =  ... < 500 DM","... < 1 year",4,"male : single","none",3,"unknown / no property",30,"stores","own",2,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","BadLoan"
"937","... > =  200 DM / salary assignments for at least 1 year",9,"existing credits paid back duly till now","radio/television",745,"... < 100 DM","1 < =  ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",28,"none","own",1,"unskilled - resident",1,"none","yes","BadLoan"
"938","0 < =  ... < 200 DM",6,"existing credits paid back duly till now","radio/television",2063,"... < 100 DM","... < 1 year",4,"male : married/widowed","none",3,"if not A121/A122 : car or other, not in attribute 6",30,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
